"REGION","ISLAND","ANALYSIS_SEC","OBS_YEAR","GENUS_CODE","Mean_JuvColDen_cm2","SE_JuvColDen_cm2","N.JCD","SEC_YEAR","COVER","SE.COVER","N.COVER","P_COVER","SE.P_COVER","meanPropRec","Mean_JuvColDenP","SE_JuvColDenP","N.JCDp","SD_JuvColDenP","SD.P_COVER","MN.RecVal","SE.RecVal","N.RecVal","CI95.RecVal","LOW_CI95.RecVal","HIGH_CI95.RecVal"
"MHI","Maui","MAI_NE",2013,"MOSP",9.16666667e-05,7.49610288e-05,2,"MAI_NE-2013",0.197739687,0.0483467020831687,64,0.00197739687,0.000483467020831687,0.666666666666667,6.11111111333333e-05,4.99740192e-05,2,7.06739357189334e-05,0.0038677361666535,0.0309048284947135,0.0263780382583755,2,0.051700954986416,-0.0207961264917025,0.0826057834811295
"MHI","Maui","MAI_NE",2013,"POCS",8.33333334e-05,6.66320256e-05,2,"MAI_NE-2013",3.550286188,1.08607753,16,0.03550286188,0.0108607753,0.958333333333333,7.9861111175e-05,6.38556912e-05,2,9.03055845297483e-05,0.0434431012,0.0022494274248913,0.00192574850188124,2,0.00377446706368724,-0.00152503963879593,0.00602389448857854
"MHI","Maui","MAI_NE",2013,"POSP",0.0002083333334,0.0001082770417,2,"MAI_NE-2013",1.284906996,0.129607771940107,80,0.01284906996,0.00129607771940107,0.497792207792208,0.000103706709989896,5.3899467641052e-05,2,7.62253581426654e-05,0.0115924715388148,0.00807114525119265,0.00427308792219245,2,0.0083752523274972,-0.000304107076304549,0.0164463975786898
"MHI","Maui","MAI_NE",2013,"SSSS",0.0004083333334,9.16190352e-05,2,"MAI_NE-2013",5.229212381,1.300306658,16,0.05229212381,0.01300306658,0.650079365079365,0.000265449074117413,5.9559644232e-05,2,8.42300566430109e-05,0.05201226632,0.0050762725775282,0.00170018095669188,2,0.00333235467511609,0.00174391790241212,0.00840862725264429
"MHI","Oahu","OAH_NE",2013,"MOSP",0.0003311016204,7.97621608e-05,12,"OAH_NE-2013",6.995414112,0.91368044631087,116,0.06995414112,0.0091368044631087,0.666666666666667,0.0002207344136,5.31747738666667e-05,12,0.000184202820036105,0.0984063956888049,0.0031554159634574,0.000864675026965286,12,0.00169476305285196,0.00146065291060544,0.00485017901630936
"MHI","Oahu","OAH_NE",2013,"POCS",3.63334259e-05,9.0112545e-06,12,"OAH_NE-2013",1.318233142,0.181074651,29,0.01318233142,0.00181074651,0.958333333333333,3.48195331541667e-05,8.6357855625e-06,12,2.99152387150396e-05,0.00975116838029363,0.00264137898257808,0.000748866711244994,12,0.00146777875404019,0.00117360022853789,0.00410915773661827
"MHI","Oahu","OAH_NE",2013,"POSP",0.0001874104167,4.37156448e-05,12,"OAH_NE-2013",3.667692151,0.358923262876245,145,0.03667692151,0.00358923262876245,0.497792207792208,9.32914450923506e-05,2.17613073400519e-05,12,7.5383379904183e-05,0.0432200841645303,0.00254360075086767,0.00064342384228446,12,0.00126111073087754,0.00128249001999013,0.00380471148174521
"MHI","Oahu","OAH_NE",2013,"SSSS",0.0005856737963,0.0001172787682,12,"OAH_NE-2013",12.42149484,2.297873878,29,0.1242149484,0.02297873878,0.650079365079365,0.000380734449642325,7.6240507168746e-05,12,0.000264104864022175,0.123744295390393,0.003065125852778,0.000835607258768382,12,0.00163779022718603,0.00142733562559197,0.00470291607996403
"MHI","Maui","MAI_NE",2016,"MOSP",0.0001083333334,4.16554251e-05,2,"MAI_NE-2016",1.108678039,0.402177357128929,44,0.01108678039,0.00402177357128929,0.666666666666667,7.22222222666667e-05,2.77702834e-05,2,3.92731114152244e-05,0.0266774278554685,0.00651426471221612,0.0034435738118811,2,0.00674940467128695,-0.00023513995907083,0.0132636693835031
"MHI","Maui","MAI_NE",2016,"POCS",0.0005166666667,3.33243401e-05,2,"MAI_NE-2016",2.2464621,1.014929332,11,0.022464621,0.01014929332,0.958333333333333,0.000495138888920833,3.19358259291667e-05,2,4.51640781546138e-05,0.0336613978297005,0.0220408298417691,0.0100587928541247,2,0.0197152339940844,0.00232559584768475,0.0417560638358535
